src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,rank_area,south_usable_panel_area_m2,south_kwp,south_specific_yield,south_kwh_year,south_co2_tons_year,ew_usable_panel_area_m2,ew_kwp,ew_specific_yield,ew_kwh_year,ew_co2_tons_year,best_layout,best_kwh_year,best_co2_tons_year,latitude,longitude,address,type of building
Gebouw.19740731,https://data.vlaanderen.be/id/gebouw/19740731,19740731,11/3/2023 4:53,IngemetenGRB,Gerealiseerd,8408.833805,173910.3135,175400.6473,34,5045.300283,1261.325071,1076.45,1357753.372,312.2832757,5045.300283,1261.325071,886.125,1117691.678,257.069086,south,1357753.372,312.2832757,50.88846638,4.708566505,"Joanna-Maria Artoisplein, 3000 Leuven, Belgium",
Gebouw.14572288,https://data.vlaanderen.be/id/gebouw/14572288,14572288,9/17/2025 9:18,IngemetenGRB,Gerealiseerd,8147.909898,171981.8653,174663.2704,35,4888.745939,1222.186485,1065.32,1302019.706,299.4645324,4888.745939,1222.186485,878.42,1073593.052,246.9264019,south,1302019.706,299.4645324,50.88191416,4.681115533,"3 Lemmensberg, 3000 Leuven, Belgium","Lemmensinstituut, Luca School Of Arts"
Gebouw.14191487,https://data.vlaanderen.be/id/gebouw/14191487,14191487,11/2/2023 16:21,IngemetenGRB,Gehistoreerd,7992.218786,175081.4831,171185.374,36,4795.331272,1198.832818,1075.9,1289824.229,296.6595726,4795.331272,1198.832818,886.15,1062345.702,244.3395114,south,1289824.229,296.6595726,50.85052436,4.724923011,"2 Interleuvenlaan, 3001 Leuven, Belgium",
Gebouw.19739426,https://data.vlaanderen.be/id/gebouw/19739426,19739426,11/3/2023 4:52,IngemetenGRB,Gerealiseerd,7861.071241,176340.1334,175018.2147,37,4716.642745,1179.160686,1075.9,1268658.982,291.7915659,4716.642745,1179.160686,886.02,1044759.951,240.2947888,south,1268658.982,291.7915659,50.88492334,4.743071123,"Heidebergstraat, 3010 Leuven, Belgium",
Gebouw.14137556,https://data.vlaanderen.be/id/gebouw/14137556,14137556,11/2/2023 15:37,IngemetenGRB,Gehistoreerd,7602.286771,171888.165,172840.3391,38,4561.372063,1140.343016,1065.11,1214590.749,279.3558724,4561.372063,1140.343016,878.415,1001694.41,230.3897143,south,1214590.749,279.3558724,50.86553071,4.679675355,"75 Kapeldreef, 3001 Leuven, Belgium",
Gebouw.13964733,https://data.vlaanderen.be/id/gebouw/13964733,13964733,11/2/2023 15:13,IngemetenGRB,Gerealiseerd,7516.332943,175325.5516,171720.2138,39,4509.799766,1127.449942,1075.95,1213079.765,279.0083459,4509.799766,1127.449942,886.14,999078.4912,229.788053,south,1213079.765,279.0083459,50.85532164,4.728425723,"1 Brabantlaan, 3001 Leuven, Belgium",Brabanthal
Gebouw.14011096,https://data.vlaanderen.be/id/gebouw/14011096,14011096,11/2/2023 15:23,IngemetenGRB,Gehistoreerd,7217.375359,175502.0798,170651.4102,40,4330.425215,1082.606304,1084.99,1174617.014,270.1619131,4330.425215,1082.606304,892.93,966691.6468,222.3390788,south,1174617.014,270.1619131,50.84570602,4.73085857,"40 Interleuvenlaan, 3001 Leuven, Belgium",
Gebouw.14246617,https://data.vlaanderen.be/id/gebouw/14246617,14246617,11/2/2023 16:23,IngemetenGRB,Gehistoreerd,7193.338224,174308.4483,174171.0869,41,4316.002935,1079.000734,1076.28,1161306.91,267.1005892,4316.002935,1079.000734,886.13,956134.9201,219.9110316,south,1161306.91,267.1005892,50.87739692,4.714143273,"Arnould Nobelstraat, 3000 Leuven, Belgium",
Gebouw.14010866,https://data.vlaanderen.be/id/gebouw/14010866,14010866,11/2/2023 15:21,IngemetenGRB,Gerealiseerd,6965.149239,174777.8064,170783.6938,42,4179.089543,1044.772386,1085,1133578.039,260.7229489,4179.089543,1044.772386,892.925,932903.3827,214.567778,south,1133578.039,260.7229489,50.84692653,4.720583621,"464 Geldenaaksebaan, 3001 Leuven, Belgium","VWR, Part of Avantor"
Gebouw.18242455,https://data.vlaanderen.be/id/gebouw/18242455,18242455,11/2/2023 7:10,IngemetenGRB,Gerealiseerd,6957.312767,173417.1962,175440.1197,43,4174.38766,1043.596915,1072.58,1119341.179,257.4484712,4174.38766,1043.596915,883.245,921751.7573,212.0029042,south,1119341.179,257.4484712,50.88884133,4.701560931,"26 Engels Plein, 3000 Leuven, Belgium",Lidl
Gebouw.13971133,https://data.vlaanderen.be/id/gebouw/13971133,13971133,11/2/2023 13:53,IngemetenGRB,Gerealiseerd,6815.707035,175327.9156,171414.8755,44,4089.424221,1022.356055,1075.92,1099973.327,252.9938652,4089.424221,1022.356055,886.145,905955.7066,208.3698125,south,1099973.327,252.9938652,50.85257674,4.728438249,"1 Esperantolaan, 3001 Leuven, Belgium",Jungheinrich NV | Heftrucks - Magazijnrekken - Automatisering
Gebouw.14120699,https://data.vlaanderen.be/id/gebouw/14120699,14120699,11/2/2023 16:02,IngemetenGRB,Gehistoreerd,6814.365466,175684.1194,171244.3957,45,4088.61928,1022.15482,1075.61,1099439.946,252.8711875,4088.61928,1022.15482,886.09,905721.1644,208.3158678,south,1099439.946,252.8711875,50.85102858,4.733484763,"68 Interleuvenlaan, 3001 Leuven, Belgium",Siemens Digital Industries Software
Gebouw.14239208,https://data.vlaanderen.be/id/gebouw/14239208,14239208,9/17/2025 8:44,IngemetenGRB,Gerealiseerd,6715.329906,175984.2147,170788.5673,46,4029.197944,1007.299486,1084.99,1092909.869,251.3692699,4029.197944,1007.299486,892.895,899412.6745,206.8649151,south,1092909.869,251.3692699,50.8469176,4.737714031,"50 Interleuvenlaan, 3001 Leuven, Belgium",Symeta Hybrid nv
Gebouw.14456455,https://data.vlaanderen.be/id/gebouw/14456455,14456455,11/2/2023 16:30,IngemetenGRB,Gerealiseerd,6560.293101,176791.5076,175108.6119,47,3936.175861,984.0439652,1076.04,1058870.668,243.5402537,3936.175861,984.0439652,885.855,871720.2668,200.4956614,south,1058870.668,243.5402537,50.88571528,4.749492066,"Zeswiekenpad, 3010 Leuven, Belgium",
Gebouw.18585437,https://data.vlaanderen.be/id/gebouw/18585437,18585437,11/3/2025 22:01,IngemetenGRB,Gerealiseerd,6441.931663,171507.9594,172629.797,48,3865.158998,966.2897495,1065.94,1030006.896,236.901586,3865.158998,966.2897495,878.955,849325.2068,195.3447976,south,1030006.896,236.901586,50.86365228,4.674262237,"200J Celestijnenlaan, 3001 Leuven, Belgium",Leuven NanoCentre
Gebouw.31859066,https://data.vlaanderen.be/id/gebouw/31859066,31859066,6/21/2025 0:47,IngemetenGRB,Gerealiseerd,6335.279333,176135.6381,170458.4869,49,3801.1676,950.2919,1084.96,1031028.7,237.136601,3801.1676,950.2919,892.93,848544.1462,195.1651536,south,1031028.7,237.136601,50.84394358,4.739840658,"Stenenkruis, 3001 Leuven, Belgium",
Gebouw.30664614,https://data.vlaanderen.be/id/gebouw/30664614,30664614,9/23/2025 18:35,IngemetenGRB,Gerealiseerd,6234.197476,172838.4791,174374.702,50,3740.518486,935.1296214,1065.84,996698.5557,229.2406678,3740.518486,935.1296214,878.64,821642.2906,188.9777268,south,996698.5557,229.2406678,50.87928702,4.693269921,"Kapucijnenvoer, 3000 Leuven, Belgium",
Gebouw.14016377,https://data.vlaanderen.be/id/gebouw/14016377,14016377,11/2/2023 13:56,IngemetenGRB,Gerealiseerd,6211.541718,175291.8731,171121.6954,51,3726.925031,931.7312577,1085.05,1010975.001,232.5242503,3726.925031,931.7312577,892.925,831966.1333,191.3522107,south,1010975.001,232.5242503,50.8499428,4.727906235,"1 Interleuvenlaan, 3001 Leuven, Belgium",Research Park
Gebouw.19739784,https://data.vlaanderen.be/id/gebouw/19739784,19739784,11/3/2023 4:53,IngemetenGRB,Gerealiseerd,6149.203535,174057.6282,171272.1334,52,3689.522121,922.3805303,1075.91,992398.4363,228.2516404,3689.522121,922.3805303,886.15,817367.5069,187.9945266,south,992398.4363,228.2516404,50.85134761,4.710389605,"Hertogstraat, 3001 Leuven, Belgium",
Gebouw.14137576,https://data.vlaanderen.be/id/gebouw/14137576,14137576,1/8/2024 9:38,IngemetenGRB,Gerealiseerd,6119.423019,171965.5042,172326.7562,53,3671.653811,917.9134528,1064.22,976861.8548,224.6782266,3671.653811,917.9134528,878.305,806207.9752,185.4278343,south,976861.8548,224.6782266,50.86091099,4.680743229,"300B Celestijnenlaan, 3001 Leuven, Belgium",KU Leuven Campus Arenberg II
Gebouw.19739452,https://data.vlaanderen.be/id/gebouw/19739452,19739452,11/3/2023 4:52,IngemetenGRB,Gehistoreerd,6097.609046,173476.7699,174102.1388,54,3658.565427,914.6413568,1076.28,984410.1995,226.4143459,3658.565427,914.6413568,886.13,810491.1455,186.4129635,south,984410.1995,226.4143459,50.87681137,4.702321986,"3 Hogeschoolplein, 3000 Leuven, Belgium",
Gebouw.14124260,https://data.vlaanderen.be/id/gebouw/14124260,14124260,3/25/2025 20:31,IngemetenGRB,Gerealiseerd,6061.589778,170803.6158,173794.4199,55,3636.953867,909.2384667,1066.09,969330.037,222.9459085,3636.953867,909.2384667,878.955,799179.6965,183.8113302,south,969330.037,222.9459085,50.87414721,4.664323504,"290 Tervuursesteenweg, 3001 Leuven, Belgium",Home Vogelzang
Gebouw.31618232,https://data.vlaanderen.be/id/gebouw/31618232,31618232,4/15/2024 17:05,IngemetenGRB,Gerealiseerd,6004.818462,171368.1583,174660.5278,56,3602.891077,900.7227694,1064.54,958855.4169,220.5367459,3602.891077,900.7227694,878.49,791275.9457,181.9934675,south,958855.4169,220.5367459,50.88191244,4.672394683,"Blauwe straat (level 2), 3000 Leuven, Belgium",
Gebouw.30804826,https://data.vlaanderen.be/id/gebouw/30804826,30804826,11/4/2023 0:43,IngemetenGRB,Gerealiseerd,5907.293164,173474.3806,174100.4724,57,3544.375898,886.0939746,1076.28,953685.223,219.3476013,3544.375898,886.0939746,886.13,785194.4537,180.5947244,south,953685.223,219.3476013,50.87679649,4.702287932,"Hogeschoolplein, 3000 Leuven, Belgium",
Gebouw.14066714,https://data.vlaanderen.be/id/gebouw/14066714,14066714,11/2/2023 17:00,IngemetenGRB,Gehistoreerd,5901.046915,173186.5315,171878.8344,58,3540.628149,885.1570373,1065.54,943170.2295,216.9291528,3540.628149,885.1570373,878.67,777760.9339,178.8850148,south,943170.2295,216.9291528,50.85683694,4.6980578,"Parkbosstraat, 3001 Leuven, Belgium",
Gebouw.14123664,https://data.vlaanderen.be/id/gebouw/14123664,14123664,11/29/2024 17:02,IngemetenGRB,Gehistoreerd,5887.469653,173693.4795,175757.8395,59,3532.481792,883.1204479,1075.21,949539.9368,218.3941855,3532.481792,883.1204479,884.795,781380.5567,179.717528,south,949539.9368,218.3941855,50.89168619,4.70550797,"13 Kolonel Begaultlaan, 3012 Leuven, Belgium",
