src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,rank_area,south_usable_panel_area_m2,south_kwp,south_specific_yield,south_kwh_year,south_co2_tons_year,ew_usable_panel_area_m2,ew_kwp,ew_specific_yield,ew_kwh_year,ew_co2_tons_year,best_layout,best_kwh_year,best_co2_tons_year
Gebouw.14239208,https://data.vlaanderen.be/id/gebouw/14239208,14239208,2025-09-17 08:44:27,IngemetenGRB,Gerealiseerd,6715.329906214663,175984.21465879088,170788.56731350854,46,4029.197943728798,1007.2994859321994,1084.99,1092909.869241577,251.36926992556275,4029.197943728798,1007.2994859321994,892.895,899412.6744914312,206.8649151330292,south,1092909.869241577,251.36926992556275
Gebouw.14456455,https://data.vlaanderen.be/id/gebouw/14456455,14456455,2023-11-02 16:30:57,IngemetenGRB,Gerealiseerd,6560.293101399841,176791.50756696158,175108.61193428776,47,3936.1758608399045,984.0439652099761,1076.04,1058870.6683245427,243.54025371464485,3936.1758608399045,984.0439652099761,885.855,871720.2668010835,200.4956613642492,south,1058870.6683245427,243.54025371464485
Gebouw.18585437,https://data.vlaanderen.be/id/gebouw/18585437,18585437,2025-11-03 22:01:47,IngemetenGRB,Gerealiseerd,6441.93166325548,171507.95941862304,172629.7970390657,48,3865.158997953288,966.289749488322,1065.94,1030006.895569582,236.90158598100388,3865.158997953288,966.289749488322,878.9549999999999,849325.2067615079,195.34479755514684,south,1030006.895569582,236.90158598100388
Gebouw.31859066,https://data.vlaanderen.be/id/gebouw/31859066,31859066,2025-06-21 00:47:51,IngemetenGRB,Gerealiseerd,6335.279333108925,176135.63808677625,170458.4869028133,49,3801.167599865355,950.2918999663387,1084.96,1031028.6997874789,237.13660095112016,3801.167599865355,950.2918999663387,892.9300000000001,848544.146236943,195.16515363449687,south,1031028.6997874789,237.13660095112016
Gebouw.30664614,https://data.vlaanderen.be/id/gebouw/30664614,30664614,2025-09-23 18:35:32,IngemetenGRB,Gerealiseerd,6234.197476281041,172838.4791447919,174374.70202020658,50,3740.5184857686245,935.1296214421561,1065.84,996698.5557179076,229.24066781511877,3740.5184857686245,935.1296214421561,878.6400000000001,821642.2905839361,188.97772683430532,south,996698.5557179076,229.24066781511877
Gebouw.14016377,https://data.vlaanderen.be/id/gebouw/14016377,14016377,2023-11-02 13:56:25,IngemetenGRB,Gerealiseerd,6211.541717934924,175291.87313326704,171121.69541014434,51,3726.9250307609545,931.7312576902386,1085.05,1010975.0011567934,232.5242502660625,3726.9250307609545,931.7312576902386,892.925,831966.1332730562,191.35221065280297,south,1010975.0011567934,232.5242502660625
Gebouw.19739784,https://data.vlaanderen.be/id/gebouw/19739784,19739784,2023-11-03 04:53:05,IngemetenGRB,Gerealiseerd,6149.203535127539,174057.6281505124,171272.13335391224,52,3689.522121076523,922.3805302691308,1075.91,992398.4363218605,228.25164035402796,3689.522121076523,922.3805302691308,886.1500000000001,817367.5068979904,187.9945265865378,south,992398.4363218605,228.25164035402796
Gebouw.14137576,https://data.vlaanderen.be/id/gebouw/14137576,14137576,2024-01-08 09:38:53,IngemetenGRB,Gerealiseerd,6119.423018835683,171965.50424767967,172326.75616289175,53,3671.65381130141,917.9134528253525,1064.22,976861.8547657966,224.67822659613324,3671.65381130141,917.9134528253525,878.3050000000001,806207.9751837712,185.4278342922674,south,976861.8547657966,224.67822659613324
Gebouw.19739452,https://data.vlaanderen.be/id/gebouw/19739452,19739452,2023-11-03 04:52:37,IngemetenGRB,Gehistoreerd,6097.609045602135,173476.76993558794,174102.13883515107,54,3658.565427361281,914.6413568403202,1076.28,984410.1995400998,226.41434589422298,3658.565427361281,914.6413568403202,886.13,810491.145536913,186.41296347348998,south,984410.1995400998,226.41434589422298
Gebouw.14124260,https://data.vlaanderen.be/id/gebouw/14124260,14124260,2025-03-25 20:31:16,IngemetenGRB,Gerealiseerd,6061.5897780114465,170803.6157598094,173794.41990219432,55,3636.9538668068676,909.2384667017169,1066.09,969330.0369660333,222.94590850218768,3636.9538668068676,909.2384667017169,878.955,799179.6964998076,183.8113301949558,south,969330.0369660333,222.94590850218768
Gebouw.31618232,https://data.vlaanderen.be/id/gebouw/31618232,31618232,2024-04-15 17:05:57,IngemetenGRB,Gerealiseerd,6004.81846243998,171368.15834392965,174660.52775303222,56,3602.891077463988,900.722769365997,1064.54,958855.4169008784,220.53674588720204,3602.891077463988,900.722769365997,878.49,791275.9456603348,181.99346750187703,south,958855.4169008784,220.53674588720204
Gebouw.30804826,https://data.vlaanderen.be/id/gebouw/30804826,30804826,2023-11-04 00:43:57,IngemetenGRB,Gerealiseerd,5907.293163976616,173474.38055196567,174100.47243501656,57,3544.3758983859693,886.0939745964923,1076.28,953685.2229787128,219.34760128510393,3544.3758983859693,886.0939745964923,886.13,785194.4537091898,180.59472435311366,south,953685.2229787128,219.34760128510393
Gebouw.14066714,https://data.vlaanderen.be/id/gebouw/14066714,14066714,2023-11-02 17:00:06,IngemetenGRB,Gehistoreerd,5901.046915039228,173186.53150683365,171878.83437506217,58,3540.628149023537,885.1570372558842,1065.54,943170.2294776349,216.92915277985603,3540.628149023537,885.1570372558842,878.6700000000001,777760.9339256278,178.8850148028944,south,943170.2294776349,216.92915277985603
Gebouw.14123664,https://data.vlaanderen.be/id/gebouw/14123664,14123664,2024-11-29 17:02:22,IngemetenGRB,Gehistoreerd,5887.469652578999,173693.4795190908,175757.83949057822,59,3532.481791547399,883.1204478868498,1075.21,949539.9367724197,218.39418545765653,3532.481791547399,883.1204478868498,884.7950000000001,781380.5566880453,179.71752803825044,south,949539.9367724197,218.39418545765653
Gebouw.14055307,https://data.vlaanderen.be/id/gebouw/14055307,14055307,2023-11-02 14:01:38,IngemetenGRB,Gehistoreerd,5884.630909583732,171813.8172653215,172959.27038134777,60,3530.778545750239,882.6946364375598,1065.68,940670.0201587788,216.35410463651914,3530.778545750239,882.6946364375598,878.6600000000001,775588.4692522263,178.38534792801204,south,940670.0201587788,216.35410463651914
